,Trial,Entry,Replication,DaysAfterTransplanting,Stage,"Cry1Ac,ppmDW",CPEID
0,1,D2,1,13,Vegetative,13.009,D2-1-Vegetative
1,1,D2,2,13,Vegetative,17.992,D2-2-Vegetative
2,1,D2,3,13,Vegetative,18.235,D2-3-Vegetative
3,1,D2,4,13,Vegetative,18.723,D2-4-Vegetative
4,1,D3,1,13,Vegetative,20.876,D3-1-Vegetative
5,1,D3,2,13,Vegetative,20.569,D3-2-Vegetative
6,1,D3,3,13,Vegetative,15.273,D3-3-Vegetative
7,1,D3,4,13,Vegetative,21.448,D3-4-Vegetative
8,1,M1,1,13,Vegetative,17.69,M1-1-Vegetative
9,1,M1,2,13,Vegetative,18.788,M1-2-Vegetative
10,1,M1,3,13,Vegetative,14.266,M1-3-Vegetative
11,1,M1,4,13,Vegetative,18.575,M1-4-Vegetative
12,1,M4,1,13,Vegetative,7.541,M4-1-Vegetative
13,1,M4,2,13,Vegetative,16.605,M4-2-Vegetative
14,1,M4,3,13,Vegetative,6.283,M4-3-Vegetative
15,1,M4,4,13,Vegetative,11.888,M4-4-Vegetative
16,1,M8,1,13,Vegetative,10.171,M8-1-Vegetative
17,1,M8,2,13,Vegetative,7.764,M8-2-Vegetative
18,1,M8,3,13,Vegetative,11.478,M8-3-Vegetative
19,1,M8,4,13,Vegetative,13.895,M8-4-Vegetative
20,1,D2,1,27,Reproductive,26.003,D2-1-Reproductive
21,1,D2,2,27,Reproductive,25.412,D2-2-Reproductive
22,1,D2,3,27,Reproductive,23.392,D2-3-Reproductive
23,1,D2,4,27,Reproductive,24.687,D2-4-Reproductive
24,1,D3,1,27,Reproductive,23.499,D3-1-Reproductive
25,1,D3,2,27,Reproductive,26.361,D3-2-Reproductive
26,1,D3,3,27,Reproductive,21.817,D3-3-Reproductive
27,1,D3,4,27,Reproductive,26.494,D3-4-Reproductive
28,1,M1,1,27,Reproductive,24.582,M1-1-Reproductive
29,1,M1,2,27,Reproductive,26.38,M1-2-Reproductive
30,1,M1,3,27,Reproductive,23.399,M1-3-Reproductive
31,1,M1,4,27,Reproductive,20.06,M1-4-Reproductive
32,1,M4,1,27,Reproductive,23.613,M4-1-Reproductive
33,1,M4,2,27,Reproductive,17.849,M4-2-Reproductive
34,1,M4,3,27,Reproductive,11.889,M4-3-Reproductive
35,1,M4,4,27,Reproductive,19.946,M4-4-Reproductive
36,1,M8,1,27,Reproductive,22.579,M8-1-Reproductive
37,1,M8,2,27,Reproductive,23.105,M8-2-Reproductive
38,1,M8,3,27,Reproductive,22.922,M8-3-Reproductive
39,1,M8,4,27,Reproductive,22.259,M8-4-Reproductive
40,1,D2,1,76,LateReproductive,21.956,D2-1-LateReproductive
41,1,D2,2,76,LateReproductive,19.601,D2-2-LateReproductive
42,1,D2,3,76,LateReproductive,17.86,D2-3-LateReproductive
43,1,D2,4,76,LateReproductive,20.475,D2-4-LateReproductive
44,1,D3,1,76,LateReproductive,22.917,D3-1-LateReproductive
45,1,D3,2,76,LateReproductive,18.974,D3-2-LateReproductive
46,1,D3,3,76,LateReproductive,18.045,D3-3-LateReproductive
47,1,D3,4,76,LateReproductive,19.348,D3-4-LateReproductive
48,1,M1,1,76,LateReproductive,20.816,M1-1-LateReproductive
49,1,M1,2,76,LateReproductive,19.834,M1-2-LateReproductive
50,1,M1,3,76,LateReproductive,19.436,M1-3-LateReproductive
51,1,M1,4,76,LateReproductive,19.629,M1-4-LateReproductive
52,1,M4,1,76,LateReproductive,21.929,M4-1-LateReproductive
53,1,M4,2,76,LateReproductive,17.924,M4-2-LateReproductive
54,1,M4,3,76,LateReproductive,19.237,M4-3-LateReproductive
55,1,M4,4,76,LateReproductive,18.37,M4-4-LateReproductive
56,1,M8,1,76,LateReproductive,24.974,M8-1-LateReproductive
57,1,M8,2,76,LateReproductive,19.181,M8-2-LateReproductive
58,1,M8,3,76,LateReproductive,19.434,M8-3-LateReproductive
59,1,M8,4,76,LateReproductive,20.817,M8-4-LateReproductive
60,2,D2,1,25,Vegetative,19.269,D2-1-Vegetative
61,2,D2,2,25,Vegetative,18.629,D2-2-Vegetative
62,2,D2,3,25,Vegetative,18.878,D2-3-Vegetative
63,2,D2,4,25,Vegetative,18.713,D2-4-Vegetative
64,2,D3,1,25,Vegetative,18.569,D3-1-Vegetative
65,2,D3,2,25,Vegetative,19.429,D3-2-Vegetative
66,2,D3,3,25,Vegetative,20.03,D3-3-Vegetative
67,2,D3,4,25,Vegetative,18.681,D3-4-Vegetative
68,2,M1,1,25,Vegetative,18.721,M1-1-Vegetative
69,2,M1,2,25,Vegetative,18.282,M1-2-Vegetative
70,2,M1,3,25,Vegetative,18.681,M1-3-Vegetative
71,2,M1,4,25,Vegetative,20.565,M1-4-Vegetative
72,2,M4,1,25,Vegetative,18.149,M4-1-Vegetative
73,2,M4,2,25,Vegetative,19.185,M4-2-Vegetative
74,2,M4,3,25,Vegetative,19.313,M4-3-Vegetative
75,2,M4,4,25,Vegetative,20.224,M4-4-Vegetative
76,2,M8,1,25,Vegetative,18.769,M8-1-Vegetative
77,2,M8,2,25,Vegetative,19.156,M8-2-Vegetative
78,2,M8,3,25,Vegetative,18.014,M8-3-Vegetative
79,2,M8,4,25,Vegetative,18.81,M8-4-Vegetative
80,2,D2,1,46,Reproductive,19.871,D2-1-Reproductive
81,2,D2,2,46,Reproductive,20.328,D2-2-Reproductive
82,2,D2,3,46,Reproductive,25.025,D2-3-Reproductive
83,2,D2,4,46,Reproductive,22.078,D2-4-Reproductive
84,2,D3,1,46,Reproductive,19.616,D3-1-Reproductive
85,2,D3,2,46,Reproductive,19.034,D3-2-Reproductive
86,2,D3,3,46,Reproductive,23.639,D3-3-Reproductive
87,2,D3,4,46,Reproductive,19.312,D3-4-Reproductive
88,2,M1,1,46,Reproductive,19.258,M1-1-Reproductive
89,2,M1,2,46,Reproductive,19.436,M1-2-Reproductive
90,2,M1,3,46,Reproductive,23.689,M1-3-Reproductive
91,2,M1,4,46,Reproductive,24.11,M1-4-Reproductive
92,2,M4,1,46,Reproductive,21.062,M4-1-Reproductive
93,2,M4,2,46,Reproductive,18.962,M4-2-Reproductive
94,2,M4,3,46,Reproductive,24.127,M4-3-Reproductive
95,2,M4,4,46,Reproductive,20.094,M4-4-Reproductive
96,2,M8,1,46,Reproductive,19.212,M8-1-Reproductive
97,2,M8,2,46,Reproductive,18.831,M8-2-Reproductive
98,2,M8,3,46,Reproductive,23.166,M8-3-Reproductive
99,2,M8,4,46,Reproductive,21.058,M8-4-Reproductive
100,2,D2,1,81,LateReproductive,17.903,D2-1-LateReproductive
101,2,D2,2,81,LateReproductive,24.743,D2-2-LateReproductive
102,2,D2,3,81,LateReproductive,25.251,D2-3-LateReproductive
103,2,D2,4,81,LateReproductive,25.166,D2-4-LateReproductive
104,2,D3,1,81,LateReproductive,18.614,D3-1-LateReproductive
105,2,D3,2,81,LateReproductive,26.321,D3-2-LateReproductive
106,2,D3,3,81,LateReproductive,23.258,D3-3-LateReproductive
107,2,D3,4,81,LateReproductive,23.258,D3-4-LateReproductive
108,2,M1,1,81,LateReproductive,19.207,M1-1-LateReproductive
109,2,M1,2,81,LateReproductive,23.223,M1-2-LateReproductive
110,2,M1,3,81,LateReproductive,23.779,M1-3-LateReproductive
111,2,M1,4,81,LateReproductive,23.073,M1-4-LateReproductive
112,2,M4,1,81,LateReproductive,19.772,M4-1-LateReproductive
113,2,M4,2,81,LateReproductive,22.626,M4-2-LateReproductive
114,2,M4,3,81,LateReproductive,24.019,M4-3-LateReproductive
115,2,M4,4,81,LateReproductive,24.149,M4-4-LateReproductive
116,2,M8,1,81,LateReproductive,20.579,M8-1-LateReproductive
117,2,M8,2,81,LateReproductive,25.639,M8-2-LateReproductive
118,2,M8,3,81,LateReproductive,23.073,M8-3-LateReproductive
119,2,M8,4,81,LateReproductive,24.86,M8-4-LateReproductive
